"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2536,186,"RUS","Russia",67,"Samara","<U+0421><U+0430><U+043C><U+0430><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kuybyshev|Kuybyshevskaya|Samarskaya Oblast","Oblast","Region"
2537,186,"RUS","Russia",68,"Saratov","<U+0421><U+0430><U+0440><U+0430><U+0442><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Saratovskaya Oblast","Oblast","Region"
2538,186,"RUS","Russia",69,"Smolensk","<U+0421><U+043C><U+043E><U+043B><U+0435><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Smolenskaya Oblast","Oblast","Region"
2539,186,"RUS","Russia",70,"Stavropol'","<U+0421><U+0442><U+0430><U+0432><U+0440><U+043E><U+043F><U+043E><U+043B><U+044C><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Stavropol'skiy Kray|Stavropolskiy Kray","Kray","Territory"
2540,186,"RUS","Russia",71,"Sverdlovsk","<U+0421><U+0432><U+0435><U+0440><U+0434><U+043B><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Yekaterinburg|Sverdlovskaya Oblast","Oblast","Region"
2541,186,"RUS","Russia",72,"Tambov","<U+0422><U+0430><U+043C><U+0431><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Tambovskaya Oblast","Oblast","Region"
2542,186,"RUS","Russia",73,"Tatarstan","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0422><U+0430><U+0442><U+0430><U+0440><U+0441><U+0442><U+0430><U+043D>","Kazan|Kazanskaya G.|Tatar A.S.S.R.|Tatarskaya A.S.S.R.|Republic of Tatarstan|Respublika Tatars","Respublika","Republic"
2543,186,"RUS","Russia",74,"Taymyr","<U+0422><U+0430><U+0439><U+043C><U+044B><U+0440><U+0441><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Dolgan-Nenets|Dolgano-Nenetskiy A.Okr.|Taymyrskiy A.Okr.","Avtonomnyy Okrug","Autonomous Province"
2544,186,"RUS","Russia",75,"Tomsk","<U+0422><U+043E><U+043C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Tomskaya Oblast","Oblast","Region"
2545,186,"RUS","Russia",76,"Tula","<U+0422><U+0443><U+043B><U+044C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Tul'skaya|Tulskaya Oblast","Oblast","Region"
2546,186,"RUS","Russia",77,"Tuva","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0422><U+044B><U+0432><U+0430>","Respublika Tyva|Republic of Tuva|Tyva|Tuvinskaya A.S.S.R.|Republic of Tyva","Respublika","Republic"
2547,186,"RUS","Russia",78,"Tver'","<U+0422><U+0432><U+0435><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kalinin|Kalininskaya|Tverskaya Oblast","Oblast","Region"
2548,186,"RUS","Russia",79,"Tyumen'","<U+0422><U+044E><U+043C><U+0435><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Tobol'sk|Tobol'skaya G.|Tyumenskaya Oblast","Oblast","Region"
2549,186,"RUS","Russia",80,"Udmurt","<U+0423><U+0434><U+043C><U+0443><U+0440><U+0442><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","Udmurtiya|Udmurt Republic|Udmurtskaya A.S.S.R.|Udmurtskaya Respublika","Respublika","Republic"
